Id,Province/State,Country/Region,Lat,Long,Date,ConfirmedCases,Fatalities
1,California,US,36.1162,-119.6816,2020-01-22,0.0,0.0
2,California,US,36.1162,-119.6816,2020-01-23,0.0,0.0
3,California,US,36.1162,-119.6816,2020-01-24,0.0,0.0
4,California,US,36.1162,-119.6816,2020-01-25,0.0,0.0
5,California,US,36.1162,-119.6816,2020-01-26,0.0,0.0
6,California,US,36.1162,-119.6816,2020-01-27,0.0,0.0
7,California,US,36.1162,-119.6816,2020-01-28,0.0,0.0
8,California,US,36.1162,-119.6816,2020-01-29,0.0,0.0
9,California,US,36.1162,-119.6816,2020-01-30,0.0,0.0
10,California,US,36.1162,-119.6816,2020-01-31,0.0,0.0
11,California,US,36.1162,-119.6816,2020-02-01,0.0,0.0
12,California,US,36.1162,-119.6816,2020-02-02,0.0,0.0
13,California,US,36.1162,-119.6816,2020-02-03,0.0,0.0
14,California,US,36.1162,-119.6816,2020-02-04,0.0,0.0
15,California,US,36.1162,-119.6816,2020-02-05,0.0,0.0
16,California,US,36.1162,-119.6816,2020-02-06,0.0,0.0
17,California,US,36.1162,-119.6816,2020-02-07,0.0,0.0
18,California,US,36.1162,-119.6816,2020-02-08,0.0,0.0
19,California,US,36.1162,-119.6816,2020-02-09,0.0,0.0
20,California,US,36.1162,-119.6816,2020-02-10,0.0,0.0
21,California,US,36.1162,-119.6816,2020-02-11,0.0,0.0
22,California,US,36.1162,-119.6816,2020-02-12,0.0,0.0
23,California,US,36.1162,-119.6816,2020-02-13,0.0,0.0
24,California,US,36.1162,-119.6816,2020-02-14,0.0,0.0
25,California,US,36.1162,-119.6816,2020-02-15,0.0,0.0
26,California,US,36.1162,-119.6816,2020-02-16,0.0,0.0
27,California,US,36.1162,-119.6816,2020-02-17,0.0,0.0
28,California,US,36.1162,-119.6816,2020-02-18,0.0,0.0
29,California,US,36.1162,-119.6816,2020-02-19,0.0,0.0
30,California,US,36.1162,-119.6816,2020-02-20,0.0,0.0
31,California,US,36.1162,-119.6816,2020-02-21,0.0,0.0
32,California,US,36.1162,-119.6816,2020-02-22,0.0,0.0
33,California,US,36.1162,-119.6816,2020-02-23,0.0,0.0
34,California,US,36.1162,-119.6816,2020-02-24,0.0,0.0
35,California,US,36.1162,-119.6816,2020-02-25,0.0,0.0
36,California,US,36.1162,-119.6816,2020-02-26,0.0,0.0
37,California,US,36.1162,-119.6816,2020-02-27,0.0,0.0
38,California,US,36.1162,-119.6816,2020-02-28,0.0,0.0
39,California,US,36.1162,-119.6816,2020-02-29,0.0,0.0
40,California,US,36.1162,-119.6816,2020-03-01,0.0,0.0
41,California,US,36.1162,-119.6816,2020-03-02,0.0,0.0
42,California,US,36.1162,-119.6816,2020-03-03,0.0,0.0
43,California,US,36.1162,-119.6816,2020-03-04,0.0,0.0
44,California,US,36.1162,-119.6816,2020-03-05,0.0,0.0
45,California,US,36.1162,-119.6816,2020-03-06,0.0,0.0
46,California,US,36.1162,-119.6816,2020-03-07,0.0,0.0
47,California,US,36.1162,-119.6816,2020-03-08,0.0,0.0
48,California,US,36.1162,-119.6816,2020-03-09,0.0,0.0
49,California,US,36.1162,-119.6816,2020-03-10,144.0,2.0
50,California,US,36.1162,-119.6816,2020-03-11,177.0,3.0
51,California,US,36.1162,-119.6816,2020-03-12,221.0,4.0
52,California,US,36.1162,-119.6816,2020-03-13,282.0,4.0
53,California,US,36.1162,-119.6816,2020-03-14,340.0,5.0
54,California,US,36.1162,-119.6816,2020-03-15,426.0,6.0
55,California,US,36.1162,-119.6816,2020-03-16,557.0,7.0
56,California,US,36.1162,-119.6816,2020-03-17,698.0,12.0
57,California,US,36.1162,-119.6816,2020-03-18,751.0,13.0
58,California,US,36.1162,-119.6816,2020-03-19,952.0,18.0
59,California,US,36.1162,-119.6816,2020-03-20,1177.0,23.0
60,California,US,36.1162,-119.6816,2020-03-21,1364.0,24.0
61,California,US,36.1162,-119.6816,2020-03-22,1642.0,30.0
62,California,US,36.1162,-119.6816,2020-03-23,2108.0,39.0
63,California,US,36.1162,-119.6816,2020-03-24,2538.0,50.0
